order_id,customer_id,order_date,order_total,feedback_rating,time_spent
62,335,2020-07-10,351,4,78
63,681,2021-09-16,1721,5,72
64,31,2020-06-03,1509,4,44
65,262,2021-10-31,3842,2,5
66,918,2020-08-22,748,1,114
67,963,2022-01-24,1860,4,80
68,958,2021-06-04,1608,4,35
69,938,2020-10-01,2873,2,11
70,311,2020-12-25,569,3,35
71,569,2020-06-26,2678,4,108
72,829,2021-05-23,2414,2,51
73,71,2021-12-23,3013,4,16
74,913,2021-12-10,2393,2,27
75,839,2021-02-20,2703,1,76
76,339,2021-11-24,2125,2,66
77,510,2021-12-31,298,2,56
78,564,2021-04-15,2527,2,105
79,292,2021-07-30,2225,4,19
80,755,2021-08-13,696,4,64
81,608,2021-09-21,1323,3,80
82,952,2020-11-24,3078,2,5
83,292,2020-08-27,3917,1,85
84,243,2021-12-23,1890,5,59
85,115,2020-11-19,2456,3,116
86,63,2021-04-03,2825,3,117
87,386,2021-01-17,3760,2,19
88,533,2022-05-24,3280,1,45
89,130,2022-03-26,2725,4,43
90,291,2022-05-25,721,2,50
91,682,2020-11-07,2751,5,98
92,641,2020-10-15,3980,2,41
93,474,2020-10-30,177,1,108
94,985,2020-08-25,3671,5,51
95,407,2020-06-15,156,3,18
96,30,2021-02-17,969,5,52
97,811,2021-09-25,4741,5,28
98,997,2021-10-28,1344,1,105
99,644,2022-01-05,1331,3,41
100,135,2021-05-09,1107,3,43
101,20,2022-02-28,2041,2,20
102,291,2022-02-23,2171,1,25
103,875,2020-12-08,1662,4,51
104,749,2020-07-19,1224,2,118
105,199,2021-09-18,2258,5,70
106,478,2021-11-16,1484,5,84
107,351,2021-05-14,3417,2,14
108,779,2020-08-09,2536,5,46
109,23,2021-07-24,933,5,83
110,85,2021-07-30,1901,5,106
111,306,2020-08-22,1910,4,85
112,207,2021-02-04,3792,1,54
113,569,2022-02-18,226,3,107
114,846,2021-01-22,3408,2,54
115,303,2021-01-26,1930,1,57
116,121,2021-01-31,771,2,18
117,397,2022-02-12,1033,4,52
118,8,2020-10-17,1847,2,66
119,732,2021-09-13,3037,3,21
120,249,2021-07-25,1391,3,102
121,700,2021-04-17,1925,2,15
122,843,2022-03-25,3348,1,65
123,764,2020-07-31,4168,5,103
124,974,2020-12-19,1100,4,86
125,284,2022-04-19,2117,2,85
126,996,2021-04-03,657,2,65
127,815,2022-03-04,885,1,17
128,30,2021-05-15,3758,3,43
129,271,2021-08-20,3613,4,32
130,650,2021-03-05,1468,1,30
131,874,2022-02-18,4232,3,114
132,312,2021-02-06,882,3,49
133,993,2022-04-09,4439,4,52
134,700,2022-04-16,2160,4,52
135,350,2020-07-09,3834,1,110
136,63,2020-10-14,385,4,31
137,190,2021-12-06,4904,1,114
138,366,2020-10-14,4501,2,18
139,652,2022-04-14,2180,4,32
140,359,2021-06-28,4371,3,111
141,357,2021-07-11,4251,5,47
142,330,2020-09-27,351,3,119
143,292,2022-05-01,1195,5,83
144,822,2021-05-07,2452,5,94
145,738,2021-07-06,1050,1,15
146,749,2022-02-06,1829,5,47
147,578,2020-06-04,1768,1,20
148,944,2021-08-06,2489,3,32
149,742,2021-12-28,1846,2,73
150,318,2022-03-06,1768,5,65
151,495,2020-09-22,4824,4,80
152,680,2020-11-24,4189,1,95
153,917,2021-05-07,1895,2,105
154,140,2022-02-10,414,2,59
155,231,2021-01-23,2747,4,29
156,199,2021-05-12,1087,3,44
157,194,2022-02-08,4987,4,69
158,436,2021-07-15,2273,2,64
159,864,2022-03-20,2607,2,31
160,354,2021-08-04,716,5,49
161,796,2020-12-19,4790,5,96
162,711,2021-12-16,2204,2,108
163,304,2022-01-12,2774,4,90
164,570,2021-03-02,4182,5,107
165,357,2021-11-02,1008,1,105
166,948,2022-05-14,3130,4,81
167,383,2021-10-09,993,4,120
168,874,2021-05-14,2406,2,70
169,365,2022-02-25,3716,3,53
170,716,2021-08-17,1489,3,101
171,719,2021-09-09,1844,2,100
172,329,2020-07-31,3054,4,26
173,417,2021-10-27,122,2,114
174,178,2021-08-27,147,1,77
175,158,2020-09-27,2522,3,20
176,95,2021-06-24,4341,3,71
177,75,2021-12-13,3537,4,95
178,225,2022-01-18,1659,4,62
179,740,2020-09-04,1934,4,77
180,421,2020-08-05,3175,5,59
181,877,2021-08-07,3667,3,100
182,155,2020-12-18,2896,5,26
183,247,2020-12-05,3142,1,56
184,162,2020-06-30,4506,2,26
185,504,2020-09-01,3632,5,85
186,566,2022-03-13,1337,2,7
187,344,2020-08-23,2327,1,64
188,580,2021-10-12,4933,5,33
189,24,2021-05-24,4286,5,116
190,519,2021-01-14,176,5,65
191,909,2020-10-17,3374,1,37
192,744,2021-12-11,2611,3,110
193,798,2022-03-24,4885,1,88
194,858,2021-03-08,3205,3,60
195,491,2020-08-09,1373,4,69
196,993,2021-09-10,3390,5,62
197,815,2021-10-28,3332,3,43
198,898,2022-02-03,1284,5,22
199,213,2020-10-01,4434,4,120
200,677,2021-12-18,1469,5,70
201,887,2021-04-30,682,1,56
202,782,2021-03-02,3896,3,5
203,636,2020-11-26,116,2,88
204,673,2021-06-20,3862,5,5
205,325,2021-11-01,3476,2,100
206,769,2021-11-27,3851,2,53
207,937,2021-07-18,3261,3,22
208,727,2021-10-09,3675,3,116
209,851,2022-02-01,1944,1,5
210,709,2020-06-26,3283,4,6
211,746,2022-05-01,792,1,112
212,995,2020-11-09,290,2,11
213,809,2020-05-29,4620,1,31
214,694,2021-04-11,3838,3,6
215,832,2022-04-22,274,3,11
216,626,2021-10-24,178,5,50
217,867,2020-11-25,733,5,25
218,239,2021-04-03,1138,1,81
219,38,2021-01-14,3871,1,71
220,634,2021-11-08,342,3,78
221,821,2021-11-18,2491,5,28
222,236,2020-09-06,322,4,43
223,466,2022-02-03,1908,1,120
224,157,2020-08-04,137,3,13
225,558,2021-08-15,4865,1,81
226,845,2020-12-06,3544,1,56
227,696,2021-11-16,2132,2,117
228,362,2022-05-26,2098,5,7
229,103,2020-08-16,4639,2,87
230,263,2021-05-15,3381,1,38
231,403,2021-09-06,2631,2,14
232,112,2022-05-19,4225,3,67
233,837,2022-04-29,1007,3,97
234,943,2020-12-30,129,5,63
235,192,2021-10-20,3317,2,62
236,296,2021-08-11,267,5,5
237,576,2022-01-08,4123,1,68
238,329,2022-04-11,1073,3,50
239,56,2022-03-08,2056,4,75
240,910,2021-09-24,3776,2,98
241,953,2021-08-19,3942,4,46
242,976,2021-01-19,2804,1,42
243,24,2021-10-18,302,2,82
244,458,2021-05-21,782,1,54
245,117,2022-02-01,4542,4,118
246,247,2020-08-29,1807,4,40
247,785,2020-10-20,369,2,21
248,491,2022-02-18,193,3,23
249,385,2020-06-08,4049,3,46
250,534,2021-03-17,1970,3,13
251,291,2021-05-14,871,3,77
252,618,2021-09-12,4762,1,41
253,984,2022-05-24,2510,5,39
254,175,2021-07-26,4939,2,82
255,344,2021-12-02,4285,4,38
256,780,2020-07-27,2427,2,41
257,100,2021-07-02,4043,5,8
258,358,2021-07-05,2558,4,15
259,414,2021-07-02,3396,1,46
260,91,2020-06-25,577,5,108
261,786,2021-09-29,4727,3,83
262,897,2021-10-30,2145,2,113
263,479,2021-07-15,4415,1,55
264,643,2021-08-04,2345,4,29
265,402,2020-08-24,2876,4,50
266,384,2022-01-01,2924,1,97
267,802,2020-07-27,727,4,34
268,557,2021-12-29,194,5,96
269,532,2020-08-25,4811,5,67
270,454,2020-12-03,3414,2,14
271,477,2021-06-05,1910,2,20
272,774,2020-10-13,3346,4,28
273,677,2022-02-17,2984,4,82
274,881,2020-06-08,3322,5,104
275,363,2022-04-29,1880,5,18
276,727,2021-03-24,3989,1,72
277,977,2020-12-08,922,3,69
278,69,2021-05-17,3656,3,10
279,473,2022-02-12,3981,4,67
280,519,2021-02-28,3036,3,47
281,284,2021-02-08,3865,1,17
282,16,2020-09-26,2375,1,59
283,968,2020-08-27,1418,4,40
284,457,2022-05-01,144,2,106
285,148,2021-01-26,2261,1,59
286,390,2021-10-25,2864,3,84
287,219,2020-11-09,1240,4,5
288,650,2020-09-15,1455,3,53
289,126,2021-09-16,3013,1,39
290,155,2020-12-05,1133,5,22
291,602,2021-09-04,3860,4,91
292,153,2021-12-15,1035,4,56
293,813,2020-09-11,2023,3,25
294,66,2020-12-11,2258,2,37
295,302,2021-07-24,1106,3,75
296,75,2021-01-26,1312,2,31
297,244,2021-11-01,4255,5,57
298,179,2021-05-20,718,1,99
299,528,2022-04-24,3107,2,37
300,908,2020-12-03,2500,2,110
301,642,2020-10-29,3031,2,34
302,927,2021-01-11,947,4,20
303,801,2021-01-01,4960,3,109
304,133,2020-12-15,4865,5,107
305,189,2020-11-08,1607,4,115
306,595,2021-03-21,4854,5,112
307,113,2021-02-16,1800,2,55
308,958,2021-07-28,888,2,90
309,171,2021-06-12,676,1,19
310,528,2022-02-23,4869,1,90
311,343,2021-08-24,250,1,66
312,508,2021-01-22,222,3,86
313,80,2020-07-20,3817,1,16
314,509,2021-12-01,2246,5,8
315,606,2021-10-03,4509,3,95
316,999,2022-03-16,2411,1,104
317,188,2021-12-07,3390,3,42
318,176,2020-09-04,908,3,114
319,708,2020-08-23,4026,2,10
320,254,2021-08-20,4355,3,37
321,105,2021-06-19,1260,1,40
322,484,2021-01-10,3359,2,44
323,854,2021-10-20,1824,3,18
324,707,2020-12-06,678,3,89
325,663,2021-03-10,2280,2,26
326,429,2020-10-27,1248,1,37
327,946,2021-05-18,4997,2,102
328,659,2020-10-06,2257,5,59
329,884,2020-12-13,2965,2,120
330,147,2021-11-20,4372,5,80
331,335,2022-05-09,2902,4,117
332,380,2021-04-10,3912,3,103
333,383,2020-07-18,4488,5,107
334,987,2021-03-13,1860,4,62
335,40,2021-05-26,4559,2,14
336,482,2022-05-09,142,1,57
337,269,2021-11-28,742,3,100
338,523,2022-02-07,4247,3,68
339,321,2021-02-22,865,5,114
340,925,2021-08-06,2881,3,39
341,818,2020-08-27,3335,5,110
342,618,2020-08-03,2683,5,71
343,138,2020-07-01,3244,3,74
344,361,2021-05-10,4918,2,15
345,992,2021-03-18,3571,1,93
346,666,2020-06-07,2286,5,47
347,327,2021-05-25,1074,1,67
348,5,2020-12-12,2722,4,77
349,249,2022-02-11,1785,2,22
350,128,2022-01-01,4330,4,60
351,501,2021-12-24,4480,3,97
352,513,2020-09-23,1320,3,8
353,331,2022-03-31,3762,1,84
354,211,2022-04-14,1971,3,57
355,162,2020-11-06,4647,5,55
356,704,2022-04-16,3694,1,100
357,11,2021-12-19,3849,1,34
358,889,2021-06-11,2108,3,78
359,740,2022-05-10,3530,5,73
360,773,2022-05-10,3373,4,70
361,2,2021-01-13,2561,3,6
362,855,2021-02-04,3997,1,59
363,873,2021-03-12,265,5,71
364,704,2020-08-27,3197,4,21
365,639,2021-04-01,1124,3,103
366,786,2020-06-09,1634,4,104
367,341,2022-01-20,975,5,94
368,524,2021-01-03,4032,3,27
369,792,2021-06-03,3804,5,57
370,56,2022-01-07,4472,2,110
371,754,2020-11-10,770,5,54
372,979,2021-10-30,2553,3,109
373,23,2021-09-21,125,5,36
374,64,2021-07-20,2055,4,63
375,887,2020-06-06,2257,3,62
376,272,2020-07-25,3630,2,111
377,618,2020-09-14,2601,3,59
378,800,2020-11-23,4995,4,36
379,228,2022-04-21,4116,4,68
380,951,2022-05-28,3499,3,80
381,419,2021-09-22,1082,4,62
382,426,2021-05-15,1563,3,42
383,3,2021-10-13,4248,4,88
384,490,2020-07-12,3843,1,60
385,931,2020-08-22,3731,1,9
386,670,2022-01-27,502,4,86
387,823,2020-06-18,4078,1,114
388,322,2022-03-24,4895,2,33
389,673,2021-05-28,686,3,28
390,624,2021-04-20,3158,1,102
391,37,2021-01-23,4360,2,116
392,985,2021-09-01,2745,1,58
393,616,2020-07-09,3485,1,78
394,339,2021-10-19,1349,2,38
395,441,2021-01-31,1376,3,117
396,410,2021-01-31,1602,1,113
397,866,2021-08-18,1825,2,8
398,96,2021-08-30,425,4,117
399,565,2021-05-20,2557,4,38
400,198,2021-03-06,580,4,64
401,153,2021-04-08,2259,3,32
402,689,2022-05-02,850,3,57
403,414,2021-06-20,1863,1,59
404,472,2021-02-06,468,5,75
405,694,2021-03-29,1238,5,93
406,965,2022-04-02,4926,2,14
407,475,2021-10-02,1666,5,85
408,43,2021-06-06,282,1,35
409,657,2021-05-13,3572,1,58
410,218,2022-04-03,2091,3,13
411,411,2021-10-29,1543,1,117
412,399,2021-01-08,1028,2,46
413,319,2022-04-01,3672,3,67
414,592,2022-03-15,1828,3,34
415,161,2021-03-27,480,1,41
416,961,2021-08-02,4594,2,16
417,834,2021-03-30,4078,3,18
418,366,2021-01-07,3497,5,118
419,26,2020-08-08,699,3,94
420,850,2021-06-18,3347,3,73
421,198,2021-08-14,3170,3,14
422,990,2021-10-04,2173,2,51
423,785,2021-04-20,4307,3,84
424,413,2022-01-17,4373,3,114
425,131,2021-04-06,2749,1,44
426,400,2020-12-08,2146,2,30
427,38,2021-07-16,563,2,115
428,971,2020-06-27,1228,1,24
429,920,2021-02-25,2128,1,47
430,987,2021-06-14,4403,3,40
431,719,2022-04-06,4604,5,38
432,537,2021-07-27,3746,3,105
433,732,2021-06-27,1934,1,45
434,199,2022-05-24,1228,1,67
435,892,2022-05-16,648,3,96
436,389,2020-09-12,3516,1,86
437,119,2021-04-21,4894,3,6
438,529,2021-06-07,2754,5,22
439,894,2021-04-16,1847,5,58
440,270,2021-07-21,2313,3,75
441,481,2021-04-19,4704,4,13
442,237,2021-04-23,3778,4,63
443,952,2020-07-07,1079,4,23
444,708,2021-01-09,1869,2,21
445,454,2021-12-19,2695,5,70
446,3,2020-07-15,4473,5,78
447,867,2021-04-25,809,4,101
448,963,2020-09-04,4735,2,16
449,412,2020-06-19,4297,4,104
450,38,2022-04-03,743,5,99
451,922,2022-01-25,4598,2,72
452,500,2020-09-27,1621,5,84
453,675,2021-11-21,933,3,117
454,969,2020-08-20,1154,3,54
455,618,2021-09-21,925,4,105
456,833,2021-01-31,781,3,39
457,631,2021-11-06,2607,1,57
458,541,2020-10-11,168,3,32
459,644,2020-05-30,2039,4,108
460,233,2022-02-28,2234,2,100
461,557,2021-11-04,673,4,111
462,994,2021-08-08,409,5,99
463,683,2022-02-01,4500,2,81
464,870,2021-08-25,343,3,21
465,464,2022-05-03,4555,2,47
466,819,2022-01-30,3892,3,58
467,950,2021-08-17,2883,5,20
468,450,2022-05-07,1562,4,101
469,910,2020-07-20,352,2,81
470,341,2020-06-20,1334,1,8
471,102,2021-09-21,3734,2,15
472,831,2021-02-22,3443,3,74
473,388,2022-05-13,247,5,75
474,518,2021-12-16,1948,2,114
475,705,2021-09-01,1870,1,119
476,20,2022-01-10,4824,4,39
477,847,2020-10-05,2742,3,62
478,955,2020-09-17,4638,5,41
479,769,2021-03-26,4734,3,59
480,514,2021-05-28,1010,2,107
481,934,2021-03-12,1754,1,96
482,34,2021-11-25,1882,2,42
483,524,2022-02-01,4602,5,60
484,120,2021-02-04,3348,3,92
485,875,2022-04-09,648,4,82
486,655,2021-04-29,3157,5,36
487,112,2022-02-21,2502,4,6
488,773,2020-07-24,2319,3,114
489,332,2021-10-11,2429,4,42
490,827,2020-11-16,3264,4,43
491,552,2020-10-14,1060,5,79
492,349,2020-09-16,388,4,27
493,733,2021-04-05,2629,4,21
494,826,2020-11-10,2002,5,7
495,733,2022-01-20,4747,2,59
496,41,2021-10-29,4436,2,88
497,532,2020-06-27,4000,2,119
498,632,2020-09-30,3946,4,5
499,752,2021-03-28,1992,2,11
500,986,2021-10-03,1733,5,66
501,273,2021-02-04,300,1,50
502,274,2022-04-04,1753,3,107
503,454,2021-03-04,1004,4,78
504,599,2021-08-10,2129,4,107
505,570,2020-09-09,110,3,105
506,329,2020-09-27,180,1,59
507,869,2020-10-07,3149,1,6
508,622,2020-09-19,4552,4,41
509,136,2022-03-22,2563,4,26
510,952,2021-08-03,4711,3,108
511,991,2020-10-13,459,4,39
512,253,2021-11-03,2328,1,31
513,373,2021-07-16,552,5,32
514,745,2021-03-14,3140,5,12
515,886,2021-12-01,973,1,76
516,839,2020-11-25,1348,5,72
517,536,2022-02-22,3500,5,60
518,423,2021-11-17,4720,5,24
519,73,2022-04-18,3707,2,65
520,47,2021-01-24,3526,2,110
521,978,2021-12-29,4643,2,57
522,147,2020-06-11,2615,4,43
523,138,2021-05-27,3437,3,69
524,74,2020-07-20,1922,4,59
525,856,2022-05-23,2210,1,95
526,248,2021-12-01,2509,4,34
527,674,2021-12-20,2514,3,88
528,560,2021-06-24,3357,1,84
529,17,2021-05-08,1088,1,65
530,949,2020-08-08,3864,5,102
531,407,2022-01-02,1240,5,69
532,270,2020-11-12,3273,5,120
533,553,2022-01-22,1665,1,55
534,333,2022-03-22,4559,4,19
535,310,2021-03-04,1071,3,102
536,326,2021-01-30,4761,1,97
537,894,2021-10-30,4542,3,26
538,622,2020-10-04,1994,5,63
539,329,2021-07-27,2522,2,100
540,976,2021-09-14,692,1,14
541,931,2021-01-14,2040,5,85
542,164,2021-12-03,4864,4,60
543,458,2020-10-03,4305,3,41
544,898,2021-01-11,3486,3,104
545,8,2022-03-17,2140,1,112
546,996,2021-05-06,2712,4,14
547,82,2021-09-09,2539,3,79
548,754,2022-05-02,3895,1,12
549,640,2020-07-31,1622,3,47
550,607,2022-05-22,4081,4,6
551,387,2022-02-17,1312,3,118
552,719,2021-08-06,697,4,81
553,40,2021-10-21,126,5,92
554,310,2020-08-29,2432,4,111
555,6,2021-05-28,308,2,28
556,989,2020-10-21,418,1,16
557,96,2021-11-12,1537,1,36
558,479,2022-03-05,3412,3,8
559,343,2021-10-18,4038,5,83
560,597,2020-12-29,1873,2,14
561,524,2021-04-15,3841,1,76
562,55,2022-05-02,1824,1,52
563,263,2022-04-21,1508,2,24
564,279,2022-05-22,2359,5,45
565,23,2021-05-13,873,4,116
566,902,2020-12-26,1274,3,52
567,644,2020-07-14,3191,5,91
568,300,2020-07-03,4346,4,113
569,976,2022-03-07,1793,3,102
570,172,2021-11-14,1745,2,7
571,556,2020-09-25,3478,5,37
572,899,2021-05-26,3203,4,107
573,562,2021-12-17,740,5,8
574,834,2020-12-12,1265,4,63
575,343,2020-10-09,2788,3,25
576,735,2022-03-23,2237,1,108
577,530,2021-04-10,4972,4,30
578,873,2022-01-25,308,5,76
579,827,2022-04-27,4090,3,90
580,324,2021-11-07,819,5,70
581,51,2021-06-06,1743,2,66
582,542,2021-10-23,1073,4,108
583,770,2022-04-21,1788,5,75
584,975,2020-12-27,4995,2,93
585,565,2021-05-18,3132,1,29
586,542,2022-04-08,325,2,94
587,634,2020-07-26,843,5,52
588,965,2021-10-17,2080,1,73
589,734,2021-02-23,312,5,90
590,449,2022-01-19,4233,3,69
591,687,2022-03-01,1370,2,13
592,938,2021-09-11,1200,3,36
593,619,2020-07-21,1617,2,35
594,567,2021-07-07,3727,5,19
595,883,2021-04-17,4714,5,118
596,416,2021-04-14,2009,4,73
597,165,2020-11-25,231,1,88
598,881,2021-06-16,4557,4,61
599,645,2021-02-14,4018,2,49
600,34,2021-12-22,1582,2,83
601,926,2021-04-29,4082,2,21
602,195,2022-03-14,2494,3,76
603,545,2021-08-03,660,3,88
604,543,2022-02-13,1883,5,120
605,935,2021-03-01,1494,4,44
606,103,2020-11-01,2951,5,53
607,428,2021-07-22,4140,5,51
608,719,2022-05-03,116,1,6
609,12,2022-01-14,4116,5,41
610,567,2021-12-18,2281,4,10
611,445,2020-10-16,2172,4,104
612,314,2021-12-31,1667,1,88
613,524,2020-07-16,4800,3,66
614,600,2021-03-26,2232,1,64
615,959,2021-11-16,1035,2,10
616,863,2021-09-06,4656,4,119
617,1000,2021-08-16,2338,2,79
618,403,2021-05-22,3990,3,58
619,708,2021-02-21,3942,2,36
620,46,2022-04-05,1035,5,79
621,382,2021-06-23,4478,2,7
622,870,2021-05-27,2242,4,41
623,544,2021-04-08,2993,4,40
624,673,2020-06-27,1799,1,61
625,171,2020-12-20,2075,3,52
626,756,2020-12-15,2067,4,119
627,559,2022-02-15,3642,5,50
628,351,2021-08-16,2770,4,95
629,112,2020-07-09,1933,1,6
630,432,2021-08-31,745,1,12
631,685,2020-11-26,2084,2,85
632,853,2021-06-11,734,5,109
633,451,2021-11-10,3188,3,19
634,470,2021-11-23,585,5,14
635,264,2021-08-17,1188,1,22
636,817,2021-06-14,1023,2,57
637,687,2022-05-07,2930,2,76
638,637,2022-02-13,4537,5,8
639,719,2022-03-23,1767,3,9
640,499,2021-11-09,1865,1,23
641,395,2020-08-18,1280,3,24
642,735,2021-04-16,2704,2,58
643,617,2021-11-25,421,2,118
644,421,2021-12-18,750,2,68
645,434,2021-02-12,3626,1,94
646,222,2021-11-21,2013,2,77
647,124,2022-04-20,4027,5,72
648,333,2020-09-04,848,5,84
649,646,2021-12-24,4091,5,56
650,440,2021-02-12,4224,1,65
651,212,2021-12-21,244,5,95
652,545,2022-01-18,944,2,42
653,273,2021-02-15,1736,5,100
654,778,2020-10-17,273,1,19
655,702,2020-10-24,694,5,95
656,254,2022-02-05,3700,4,6
657,976,2022-02-11,2620,3,32
658,3,2020-11-06,3379,5,20
659,99,2020-08-25,1872,4,51
660,951,2020-06-29,1786,4,35
661,578,2021-04-23,3304,5,84
662,78,2021-10-07,3169,4,104
663,222,2022-01-07,1280,4,42
664,896,2021-10-09,3267,4,40
665,169,2020-09-13,476,2,101
666,862,2022-02-11,218,2,15
667,759,2021-03-02,4284,2,68
668,461,2020-09-21,4467,4,9
669,906,2022-03-30,2162,1,86
670,852,2020-09-12,1908,3,36
671,141,2020-11-19,1330,3,115
672,114,2021-07-19,3431,1,72
673,111,2021-03-15,3014,1,33
674,966,2021-03-16,1406,5,66
675,634,2021-11-02,1718,1,5
676,40,2021-03-17,2538,2,8
677,986,2021-09-18,4535,3,31
678,171,2022-03-20,2627,1,115
679,452,2020-10-11,854,4,6
680,797,2022-04-03,2239,2,54
681,568,2020-12-20,2884,2,10
682,229,2021-12-22,371,4,24
683,609,2020-06-19,381,2,46
684,328,2021-04-24,964,4,96
685,242,2020-06-03,3876,2,109
686,449,2020-11-24,692,5,31
687,822,2020-07-03,2731,2,28
688,545,2020-10-22,3199,1,112
689,126,2021-03-22,3321,2,24
690,177,2022-02-07,149,1,87
691,899,2022-04-25,3298,4,9
692,342,2020-10-01,306,3,109
693,223,2020-06-18,1314,1,112
694,422,2021-01-03,346,3,106
695,155,2021-04-16,3300,3,34
696,696,2022-05-22,1980,5,108
697,389,2020-09-17,3836,1,94
698,532,2021-09-01,1705,2,5
699,845,2021-05-30,2096,4,35
700,582,2021-03-27,981,4,28
701,124,2020-09-11,1114,5,109
702,535,2020-11-24,2166,3,64
703,664,2021-04-01,1505,1,116
704,104,2020-08-24,1654,3,58
705,799,2021-08-05,1623,5,54
706,797,2022-05-02,3088,3,75
707,582,2021-07-01,2751,5,95
708,259,2021-02-17,3515,3,77
709,708,2022-03-07,770,2,87
710,83,2020-11-22,800,5,44
711,189,2022-02-14,2205,2,44
712,927,2021-08-16,368,5,92
713,170,2021-01-19,2426,5,65
714,541,2021-12-18,4102,4,82
715,383,2021-06-05,1596,3,22
716,178,2021-12-11,280,5,77
717,489,2021-03-03,2149,3,8
718,516,2021-12-17,1410,1,74
719,892,2021-01-09,537,4,62
720,204,2021-07-13,3279,2,21
721,723,2021-05-06,3623,1,18
722,849,2021-03-02,2694,1,13
723,623,2022-03-21,1288,1,79
724,669,2021-01-07,1860,2,20
725,35,2022-02-27,2463,2,8
726,332,2021-07-27,2456,4,112
727,428,2021-04-21,3418,1,67
728,947,2021-12-26,3393,5,101
729,991,2020-08-21,486,5,59
730,890,2021-10-18,3029,2,66
731,606,2020-08-24,3912,3,35
732,99,2021-06-29,2378,3,67
733,364,2021-08-23,1575,1,70
734,152,2021-10-06,4872,1,104
735,879,2021-11-09,3306,3,44
736,75,2021-04-07,4406,1,42
737,552,2020-06-16,769,3,21
738,688,2021-09-15,4966,4,50
739,147,2021-03-25,2700,5,14
740,368,2022-02-26,346,4,98
741,671,2021-03-12,1341,5,11
742,93,2021-11-02,4380,3,102
743,98,2021-02-22,1394,2,118
744,212,2020-08-09,3434,4,21
745,94,2021-09-03,4394,2,38
746,211,2022-03-15,4319,2,7
747,901,2021-09-30,286,2,59
748,787,2022-03-24,673,2,40
749,693,2020-12-09,899,1,73
750,891,2021-02-24,1726,2,54
751,107,2022-03-25,3930,2,56
752,419,2022-04-15,3850,5,88
753,44,2021-02-28,4948,4,47
754,747,2022-01-24,2730,2,17
755,218,2021-10-12,2712,5,40
756,99,2021-08-18,1915,5,103
757,290,2021-09-22,1327,2,119
758,126,2020-08-08,821,1,31
759,220,2021-08-07,4257,2,100
760,664,2021-09-26,606,5,14
761,357,2021-11-19,1936,2,30
762,861,2021-12-18,739,2,12
763,435,2020-07-08,1634,3,67
764,784,2021-04-24,4629,3,5
765,39,2021-04-08,2647,5,27
766,986,2022-04-19,3524,2,7
767,833,2021-04-08,2591,1,83
768,966,2021-05-20,1522,5,93
769,750,2021-12-28,1766,5,20
770,226,2020-09-18,2851,5,65
771,733,2021-05-20,2842,1,81
772,359,2021-03-19,3233,5,116
773,792,2022-03-18,1011,3,83
774,589,2020-11-28,429,5,69
775,661,2022-04-01,2244,2,7
776,799,2022-04-25,3953,3,27
777,851,2022-01-23,1529,5,50
778,752,2022-02-15,2721,2,46
779,316,2021-12-16,3238,1,118
780,832,2021-04-27,2046,2,81
781,727,2021-05-26,4888,4,21
782,827,2021-11-22,4485,2,36
783,562,2021-01-12,4222,5,63
